month,year,name,gas,main_sector,total_emissions
1,2021,Chũ,ch4,Chất thải,42.65
1,2021,Chũ,ch4,Công nghiệp,0.2
1,2021,Chũ,ch4,Giao thông,10.55
1,2021,Chũ,ch4,Nông nghiệp,200.33
1,2021,Chũ,ch4,Năng lượng,0.27
1,2021,Chũ,ch4,Đất đai,0.0
1,2021,Chũ,co2,Chất thải,0.09
1,2021,Chũ,co2,Công nghiệp,67.35
1,2021,Chũ,co2,Giao thông,673.8
1,2021,Chũ,co2,Nông nghiệp,10.29
1,2021,Chũ,co2,Năng lượng,66.16
1,2021,Chũ,co2,Đất đai,74.3
1,2021,Chũ,co2e_20yr,Chất thải,43.17
1,2021,Chũ,co2e_20yr,Công nghiệp,112.49
1,2021,Chũ,co2e_20yr,Giao thông,690.26
1,2021,Chũ,co2e_20yr,Nông nghiệp,225.08
1,2021,Chũ,co2e_20yr,Năng lượng,67.51
1,2021,Chũ,co2e_20yr,Đất đai,74.3
1,2021,Chũ,n2o,Chất thải,0.02
1,2021,Chũ,n2o,Công nghiệp,0.17
1,2021,Chũ,n2o,Giao thông,5.75
1,2021,Chũ,n2o,Nông nghiệp,11.45
1,2021,Chũ,n2o,Năng lượng,1.04
1,2021,Chũ,n2o,Đất đai,0.0
1,2021,Dien Bien Phu,ch4,Chất thải,424.02
1,2021,Dien Bien Phu,ch4,Công nghiệp,3.81
1,2021,Dien Bien Phu,ch4,Giao thông,38.38
1,2021,Dien Bien Phu,ch4,Nông nghiệp,9646.24
1,2021,Dien Bien Phu,ch4,Năng lượng,5.11
1,2021,Dien Bien Phu,ch4,Đất đai,0.0
1,2021,Dien Bien Phu,co2,Chất thải,0.94
1,2021,Dien Bien Phu,co2,Công nghiệp,1271.2
1,2021,Dien Bien Phu,co2,Giao thông,2554.81
1,2021,Dien Bien Phu,co2,Nông nghiệp,13.38
1,2021,Dien Bien Phu,co2,Năng lượng,1248.7
1,2021,Dien Bien Phu,co2,Đất đai,155.69
1,2021,Dien Bien Phu,co2e_20yr,Chất thải,429.18
1,2021,Dien Bien Phu,co2e_20yr,Công nghiệp,2123.11
1,2021,Dien Bien Phu,co2e_20yr,Giao thông,2615.55
1,2021,Dien Bien Phu,co2e_20yr,Nông nghiệp,9866.12
1,2021,Dien Bien Phu,co2e_20yr,Năng lượng,1274.24
1,2021,Dien Bien Phu,co2e_20yr,Đất đai,155.69
1,2021,Dien Bien Phu,n2o,Chất thải,0.21
1,2021,Dien Bien Phu,n2o,Công nghiệp,3.13
1,2021,Dien Bien Phu,n2o,Giao thông,21.78
1,2021,Dien Bien Phu,n2o,Nông nghiệp,61.8
1,2021,Dien Bien Phu,n2o,Năng lượng,19.68
1,2021,Dien Bien Phu,n2o,Đất đai,0.0
1,2021,Ha Long,ch4,Chất thải,2367.64
1,2021,Ha Long,ch4,Công nghiệp,29.85
1,2021,Ha Long,ch4,Giao thông,401.04
1,2021,Ha Long,ch4,Nông nghiệp,595.79
1,2021,Ha Long,ch4,Năng lượng,1097279.28
1,2021,Ha Long,ch4,Đất đai,0.0
1,2021,Ha Long,co2,Chất thải,5.26
1,2021,Ha Long,co2,Công nghiệp,52935.5
1,2021,Ha Long,co2,Giao thông,28809.44
1,2021,Ha Long,co2,Nông nghiệp,328.19
1,2021,Ha Long,co2,Năng lượng,260732.44
1,2021,Ha Long,co2,Đất đai,0.0
1,2021,Ha Long,co2e_20yr,Chất thải,2396.43
1,2021,Ha Long,co2e_20yr,Công nghiệp,59608.48
1,2021,Ha Long,co2e_20yr,Giao thông,29598.72
1,2021,Ha Long,co2e_20yr,Nông nghiệp,961.31
1,2021,Ha Long,co2e_20yr,Năng lượng,1374630.38
1,2021,Ha Long,co2e_20yr,Đất đai,0.0
1,2021,Ha Long,n2o,Chất thải,1.16
1,2021,Ha Long,n2o,Công nghiệp,24.53
1,2021,Ha Long,n2o,Giao thông,382.21
1,2021,Ha Long,n2o,Nông nghiệp,28.39
1,2021,Ha Long,n2o,Năng lượng,154.13
1,2021,Ha Long,n2o,Đất đai,0.0
1,2021,Haiphong,ch4,Chất thải,25716.49
1,2021,Haiphong,ch4,Công nghiệp,312.57
1,2021,Haiphong,ch4,Giao thông,1540.28
1,2021,Haiphong,ch4,Nông nghiệp,41609.44
1,2021,Haiphong,ch4,Năng lượng,140.68
1,2021,Haiphong,ch4,Đất đai,0.0
1,2021,Haiphong,co2,Chất thải,57.13
1,2021,Haiphong,co2,Công nghiệp,61160.07
1,2021,Haiphong,co2,Giao thông,117270.03
1,2021,Haiphong,co2,Nông nghiệp,4091.21
1,2021,Haiphong,co2,Năng lượng,439096.61
1,2021,Haiphong,co2,Đất đai,80.27
1,2021,Haiphong,co2e_20yr,Chất thải,26029.15
1,2021,Haiphong,co2e_20yr,Công nghiệp,85019.2
1,2021,Haiphong,co2e_20yr,Giao thông,120353.21
1,2021,Haiphong,co2e_20yr,Nông nghiệp,47745.84
1,2021,Haiphong,co2e_20yr,Năng lượng,439800.21
1,2021,Haiphong,co2e_20yr,Đất đai,80.27
1,2021,Haiphong,n2o,Chất thải,12.57
1,2021,Haiphong,n2o,Công nghiệp,267.9
1,2021,Haiphong,n2o,Giao thông,1519.8
1,2021,Haiphong,n2o,Nông nghiệp,1421.04
1,2021,Haiphong,n2o,Năng lượng,542.02
1,2021,Haiphong,n2o,Đất đai,0.0
1,2021,Hanoi,ch4,Chất thải,158792.04
1,2021,Hanoi,ch4,Công nghiệp,1317.57
1,2021,Hanoi,ch4,Giao thông,3012.21
1,2021,Hanoi,ch4,Nông nghiệp,275987.86
1,2021,Hanoi,ch4,Năng lượng,195006.71
1,2021,Hanoi,ch4,Đất đai,0.0
1,2021,Hanoi,co2,Chất thải,352.75
1,2021,Hanoi,co2,Công nghiệp,213661.25
1,2021,Hanoi,co2,Giao thông,299873.82
1,2021,Hanoi,co2,Nông nghiệp,38916.13
1,2021,Hanoi,co2,Năng lượng,150402.37
1,2021,Hanoi,co2,Đất đai,2430.53
1,2021,Hanoi,co2e_20yr,Chất thải,160722.58
1,2021,Hanoi,co2e_20yr,Công nghiệp,314283.97
1,2021,Hanoi,co2e_20yr,Giao thông,305396.59
1,2021,Hanoi,co2e_20yr,Nông nghiệp,320979.87
1,2021,Hanoi,co2e_20yr,Năng lượng,350699.35
1,2021,Hanoi,co2e_20yr,Đất đai,2430.53
1,2021,Hanoi,n2o,Chất thải,77.62
1,2021,Hanoi,n2o,Công nghiệp,1129.3
1,2021,Hanoi,n2o,Giao thông,2465.37
1,2021,Hanoi,n2o,Nông nghiệp,1936.07
1,2021,Hanoi,n2o,Năng lượng,2285.94
1,2021,Hanoi,n2o,Đất đai,0.0
1,2021,Hòa Bình,ch4,Chất thải,382.38
1,2021,Hòa Bình,ch4,Công nghiệp,19.37
1,2021,Hòa Bình,ch4,Giao thông,29.85
1,2021,Hòa Bình,ch4,Nông nghiệp,1303.04
1,2021,Hòa Bình,ch4,Năng lượng,6.08
1,2021,Hòa Bình,ch4,Đất đai,0.0
1,2021,Hòa Bình,co2,Chất thải,0.85
1,2021,Hòa Bình,co2,Công nghiệp,2063.21
1,2021,Hòa Bình,co2,Giao thông,1900.06
1,2021,Hòa Bình,co2,Nông nghiệp,77.52
1,2021,Hòa Bình,co2,Năng lượng,1487.08
1,2021,Hòa Bình,co2,Đất đai,703.5
1,2021,Hòa Bình,co2e_20yr,Chất thải,387.03
1,2021,Hòa Bình,co2e_20yr,Công nghiệp,3105.78
1,2021,Hòa Bình,co2e_20yr,Giao thông,1946.62
1,2021,Hòa Bình,co2e_20yr,Nông nghiệp,1412.82
1,2021,Hòa Bình,co2e_20yr,Năng lượng,1517.5
1,2021,Hòa Bình,co2e_20yr,Đất đai,703.5
1,2021,Hòa Bình,n2o,Chất thải,0.19
1,2021,Hòa Bình,n2o,Công nghiệp,16.7
1,2021,Hòa Bình,n2o,Giao thông,16.27
1,2021,Hòa Bình,n2o,Nông nghiệp,12.72
1,2021,Hòa Bình,n2o,Năng lượng,23.43
1,2021,Hòa Bình,n2o,Đất đai,0.0
1,2021,Hưng Yên,ch4,Chất thải,2289.07
1,2021,Hưng Yên,ch4,Công nghiệp,51.27
1,2021,Hưng Yên,ch4,Giao thông,36.0
1,2021,Hưng Yên,ch4,Nông nghiệp,3867.04
1,2021,Hưng Yên,ch4,Năng lượng,9.09
1,2021,Hưng Yên,ch4,Đất đai,0.0
1,2021,Hưng Yên,co2,Chất thải,5.09
1,2021,Hưng Yên,co2,Công nghiệp,3909.57
1,2021,Hưng Yên,co2,Giao thông,2292.71
1,2021,Hưng Yên,co2,Nông nghiệp,1158.21
1,2021,Hưng Yên,co2,Năng lượng,2221.52
1,2021,Hưng Yên,co2,Đất đai,20.22
1,2021,Hưng Yên,co2e_20yr,Chất thải,2316.9
1,2021,Hưng Yên,co2e_20yr,Công nghiệp,5509.25
1,2021,Hưng Yên,co2e_20yr,Giao thông,2348.87
1,2021,Hưng Yên,co2e_20yr,Nông nghiệp,5101.58
1,2021,Hưng Yên,co2e_20yr,Năng lượng,2266.96
1,2021,Hưng Yên,co2e_20yr,Đất đai,20.22
1,2021,Hưng Yên,n2o,Chất thải,1.12
1,2021,Hưng Yên,n2o,Công nghiệp,44.49
