Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,GCAM,Below 2°C,Degree Celsius,,,,,25.25425,25.40767,25.53,25.66117,25.7574,25.81802,25.88635
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.24484,25.40346,25.49777,25.61188,25.72171,25.84227,25.9877
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.25362,25.39646,25.51283,25.67464,25.79889,25.87804,25.9459
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,GCAM,Fragmented World,Degree Celsius,,,,,25.26511,25.41703,25.53391,25.68256,25.80011,25.91799,26.04418
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,GCAM,Low Demand,Degree Celsius,,,,,25.25346,25.39228,25.51062,25.6341,25.71704,25.7599,25.76757
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.26539,25.42034,25.53834,25.68567,25.8074,25.92856,26.07365
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.25444,25.41166,25.5352,25.65519,25.72431,25.75213,25.75081
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,,,,,25.24119,25.39887,25.53803,25.66489,25.75151,25.80988,25.87229
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.2521,25.41645,25.53131,25.67863,25.80369,25.92207,26.0606
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.24105,25.39593,25.51014,25.67875,25.79345,25.86069,25.93311
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,,,,,25.25221,25.41589,25.53168,25.69948,25.8221,25.90894,26.01197
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,,,,,25.2412,25.39991,25.56269,25.6657,25.70594,25.71679,25.73477
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.25235,25.41765,25.53232,25.67876,25.78992,25.88608,25.99665
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.2412,25.39949,25.54803,25.64307,25.68419,25.69445,25.70792
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,,,,,25.25128934,25.39558512,25.50751762,25.63642989,25.71266021,25.75784495,25.80117024
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.25128934,25.41275785,25.52106836,25.66940524,25.79052452,25.91448303,26.06574658
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.25128934,25.41275785,25.52106836,25.64388507,25.75663204,25.81203123,25.84171614
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,,,,,25.25128934,25.41275785,25.52106836,25.66695815,25.78450939,25.88522856,25.98988426
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,,,,,25.25128934,25.40176862,25.51126573,25.5912641,25.5968547,25.5660425,25.54030431
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.25128934,25.41240661,25.52119013,25.6650231,25.75682088,25.83680898,25.92660199
Vietnam,VN,VNM,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.25128934,25.39800401,25.50765627,25.60350616,25.62710405,25.62369118,25.63564589
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,GCAM,Below 2°C,Degree Celsius,,,,,25.16054,25.25959,25.34912,25.43341,25.48769,25.52514,25.56825
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.16026,25.25684,25.33953,25.44338,25.54389,25.63579,25.75798
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.16029,25.25488,25.34154,25.45381,25.52739,25.575,25.61825
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,GCAM,Fragmented World,Degree Celsius,,,,,25.16035,25.25638,25.33991,25.44403,25.5287,25.60552,25.69448
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,GCAM,Low Demand,Degree Celsius,,,,,25.16015,25.25442,25.33599,25.41871,25.45856,25.47396,25.47344
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.16051,25.25849,25.34405,25.4438,25.53112,25.61572,25.71924
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.16061,25.26288,25.34954,25.41975,25.44909,25.46352,25.45279
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,,,,,25.15481,25.26704,25.35911,25.4424,25.49347,25.51844,25.55182
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.15462,25.26532,25.34265,25.44828,25.54437,25.61965,25.7157
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.15462,25.26311,25.34286,25.4658,25.53424,25.56438,25.59918
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,,,,,25.15472,25.26522,25.34269,25.45967,25.54134,25.59627,25.65558
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,,,,,25.15482,25.26628,25.35912,25.41208,25.42651,25.41818,25.41452
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.15488,25.26667,25.34186,25.44462,25.52288,25.57994,25.65187
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.15482,25.26815,25.36188,25.41992,25.43575,25.4206,25.42315
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,,,,,25.15243498,25.26008611,25.34205226,25.42816712,25.46720396,25.4755738,25.49818835
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.15243498,25.25964291,25.33714304,25.43901807,25.52556745,25.59839668,25.69397813
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.15243498,25.25964291,25.33714304,25.43767964,25.49871178,25.51823245,25.5194573
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,,,,,25.15243498,25.25964291,25.33714304,25.43682847,25.51267669,25.56815482,25.63159824
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,,,,,25.15243498,25.26382797,25.33693783,25.38649117,25.36075883,25.31712326,25.28096805
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.15243498,25.25845843,25.33548618,25.42717683,25.48700056,25.53039283,25.57841439
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.15243498,25.26020016,25.33809908,25.39624439,25.39205086,25.3646958,25.35630328
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Below 2°C,Degree Celsius,,,,,25.36412,25.58114,25.79809,26.01743,26.17834,26.30606,26.44741
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.3379,25.54259,25.73641,25.93685,26.13609,26.35629,26.5737
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.36355,25.56778,25.75868,26.01817,26.21327,26.36488,26.50918
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Fragmented World,Degree Celsius,,,,,25.33807,25.54247,25.73658,25.9468,26.14026,26.33099,26.5072
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Low Demand,Degree Celsius,,,,,25.36339,25.56321,25.76526,25.97485,26.12561,26.23578,26.28844
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.33826,25.54741,25.74629,25.95422,26.14746,26.34386,26.53691
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.36432,25.58633,25.81072,26.01984,26.15789,26.24952,26.27616
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,,,,,25.34816,25.5784,25.80958,26.02381,26.17417,26.29138,26.43455
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.3234,25.54746,25.72582,25.93211,26.13932,26.34219,26.54354
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.34802,25.57255,25.74792,26.01952,26.21955,26.34902,26.49502
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,,,,,25.32346,25.54706,25.72643,25.96794,26.17412,26.35262,26.50375
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,,,,,25.34818,25.58021,25.85052,26.04891,26.15649,26.22019,26.28623
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.32361,25.55059,25.73297,25.93588,26.13253,26.30828,26.4755
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.34818,25.57951,25.82488,26.007,26.09269,26.15227,26.21976
