month,year,name,gas,main_sector,total_emissions
1,2021,Chũ,ch4,Chất thải,89.44
1,2021,Chũ,ch4,Công nghiệp,1.06
1,2021,Chũ,ch4,Giao thông,10.55
1,2021,Chũ,ch4,Nông nghiệp,200.33
1,2021,Chũ,ch4,Năng lượng,137.48
1,2021,Chũ,ch4,Đất đai,0.0
1,2021,Chũ,co2,Chất thải,0.09
1,2021,Chũ,co2,Công nghiệp,138.67
1,2021,Chũ,co2,Giao thông,673.99
1,2021,Chũ,co2,Nông nghiệp,10.29
1,2021,Chũ,co2,Năng lượng,414.91
1,2021,Chũ,co2,Đất đai,74.3
1,2021,Chũ,co2e_20yr,Chất thải,92.99
1,2021,Chũ,co2e_20yr,Công nghiệp,185.29
1,2021,Chũ,co2e_20yr,Giao thông,690.49
1,2021,Chũ,co2e_20yr,Nông nghiệp,255.46
1,2021,Chũ,co2e_20yr,Năng lượng,571.31
1,2021,Chũ,co2e_20yr,Đất đai,74.3
1,2021,Chũ,n2o,Chất thải,2.59
1,2021,Chũ,n2o,Công nghiệp,0.78
1,2021,Chũ,n2o,Giao thông,5.77
1,2021,Chũ,n2o,Nông nghiệp,41.83
1,2021,Chũ,n2o,Năng lượng,16.82
1,2021,Chũ,n2o,Đất đai,0.0
1,2021,Dien Bien Phu,ch4,Chất thải,889.19
1,2021,Dien Bien Phu,ch4,Công nghiệp,20.05
1,2021,Dien Bien Phu,ch4,Giao thông,38.4
1,2021,Dien Bien Phu,ch4,Nông nghiệp,9659.62
1,2021,Dien Bien Phu,ch4,Năng lượng,1226.05
1,2021,Dien Bien Phu,ch4,Đất đai,0.0
1,2021,Dien Bien Phu,co2,Chất thải,0.94
1,2021,Dien Bien Phu,co2,Công nghiệp,2617.34
1,2021,Dien Bien Phu,co2,Giao thông,2558.41
1,2021,Dien Bien Phu,co2,Nông nghiệp,20.18
1,2021,Dien Bien Phu,co2,Năng lượng,2650.02
1,2021,Dien Bien Phu,co2,Đất đai,155.69
1,2021,Dien Bien Phu,co2e_20yr,Chất thải,924.53
1,2021,Dien Bien Phu,co2e_20yr,Công nghiệp,3497.28
1,2021,Dien Bien Phu,co2e_20yr,Giao thông,2620.01
1,2021,Dien Bien Phu,co2e_20yr,Nông nghiệp,10001.98
1,2021,Dien Bien Phu,co2e_20yr,Năng lượng,3992.0
1,2021,Dien Bien Phu,co2e_20yr,Đất đai,155.69
1,2021,Dien Bien Phu,n2o,Chất thải,25.74
1,2021,Dien Bien Phu,n2o,Công nghiệp,14.67
1,2021,Dien Bien Phu,n2o,Giao thông,22.16
1,2021,Dien Bien Phu,n2o,Nông nghiệp,177.36
1,2021,Dien Bien Phu,n2o,Năng lượng,96.87
1,2021,Dien Bien Phu,n2o,Đất đai,0.0
1,2021,Ha Long,ch4,Chất thải,4965.03
1,2021,Ha Long,ch4,Công nghiệp,157.03
1,2021,Ha Long,ch4,Giao thông,401.16
1,2021,Ha Long,ch4,Nông nghiệp,765.23
1,2021,Ha Long,ch4,Năng lượng,1105394.6
1,2021,Ha Long,ch4,Đất đai,0.0
1,2021,Ha Long,co2,Chất thải,5.26
1,2021,Ha Long,co2,Công nghiệp,63479.72
1,2021,Ha Long,co2,Giao thông,28837.64
1,2021,Ha Long,co2,Nông nghiệp,414.3
1,2021,Ha Long,co2,Năng lượng,264275.65
1,2021,Ha Long,co2,Đất đai,0.0
1,2021,Ha Long,co2e_20yr,Chất thải,5162.35
1,2021,Ha Long,co2e_20yr,Công nghiệp,70372.2
1,2021,Ha Long,co2e_20yr,Giao thông,29633.63
1,2021,Ha Long,co2e_20yr,Nông nghiệp,1588.17
1,2021,Ha Long,co2e_20yr,Năng lượng,1386548.62
1,2021,Ha Long,co2e_20yr,Đất đai,0.0
1,2021,Ha Long,n2o,Chất thải,143.74
1,2021,Ha Long,n2o,Công nghiệp,114.94
1,2021,Ha Long,n2o,Giao thông,385.18
1,2021,Ha Long,n2o,Nông nghiệp,398.02
1,2021,Ha Long,n2o,Năng lượng,292.1
1,2021,Ha Long,n2o,Đất đai,0.0
1,2021,Haiphong,ch4,Chất thải,53928.43
1,2021,Haiphong,ch4,Công nghiệp,759.83
1,2021,Haiphong,ch4,Giao thông,1540.72
1,2021,Haiphong,ch4,Nông nghiệp,41743.21
1,2021,Haiphong,ch4,Năng lượng,28675.63
1,2021,Haiphong,ch4,Đất đai,0.0
1,2021,Haiphong,co2,Chất thải,57.13
1,2021,Haiphong,co2,Công nghiệp,98240.79
1,2021,Haiphong,co2,Giao thông,117369.19
1,2021,Haiphong,co2,Nông nghiệp,4159.19
1,2021,Haiphong,co2,Năng lượng,450192.1
1,2021,Haiphong,co2,Đất đai,80.27
1,2021,Haiphong,co2e_20yr,Chất thải,56071.66
1,2021,Haiphong,co2e_20yr,Công nghiệp,122871.84
1,2021,Haiphong,co2e_20yr,Giao thông,120476.0
1,2021,Haiphong,co2e_20yr,Nông nghiệp,50160.18
1,2021,Haiphong,co2e_20yr,Năng lượng,480182.11
1,2021,Haiphong,co2e_20yr,Đất đai,80.27
1,2021,Haiphong,n2o,Chất thải,1561.25
1,2021,Haiphong,n2o,Công nghiệp,585.85
1,2021,Haiphong,n2o,Giao thông,1530.24
1,2021,Haiphong,n2o,Nông nghiệp,3632.3
1,2021,Haiphong,n2o,Năng lượng,865.45
1,2021,Haiphong,n2o,Đất đai,0.0
1,2021,Hanoi,ch4,Chất thải,332992.74
1,2021,Hanoi,ch4,Công nghiệp,3203.88
1,2021,Hanoi,ch4,Giao thông,3014.08
1,2021,Hanoi,ch4,Nông nghiệp,276629.93
1,2021,Hanoi,ch4,Năng lượng,322013.62
1,2021,Hanoi,ch4,Đất đai,0.0
1,2021,Hanoi,co2,Chất thải,352.75
1,2021,Hanoi,co2,Công nghiệp,370046.14
1,2021,Hanoi,co2,Giao thông,300292.0
1,2021,Hanoi,co2,Nông nghiệp,39242.43
1,2021,Hanoi,co2,Năng lượng,219557.86
1,2021,Hanoi,co2,Đất đai,2430.53
1,2021,Hanoi,co2e_20yr,Chất thải,346226.53
1,2021,Hanoi,co2e_20yr,Công nghiệp,473924.39
1,2021,Hanoi,co2e_20yr,Giao thông,305914.44
1,2021,Hanoi,co2e_20yr,Nông nghiệp,336556.68
1,2021,Hanoi,co2e_20yr,Năng lượng,550863.13
1,2021,Hanoi,co2e_20yr,Đất đai,2430.53
1,2021,Hanoi,n2o,Chất thải,9640.26
1,2021,Hanoi,n2o,Công nghiệp,2470.22
1,2021,Hanoi,n2o,Giao thông,2509.44
1,2021,Hanoi,n2o,Nông nghiệp,16538.08
1,2021,Hanoi,n2o,Năng lượng,4382.21
1,2021,Hanoi,n2o,Đất đai,0.0
1,2021,Hòa Bình,ch4,Chất thải,801.87
1,2021,Hòa Bình,ch4,Công nghiệp,38.7
1,2021,Hòa Bình,ch4,Giao thông,29.87
1,2021,Hòa Bình,ch4,Nông nghiệp,1329.79
1,2021,Hòa Bình,ch4,Năng lượng,1322.8
1,2021,Hòa Bình,ch4,Đất đai,9885.68
1,2021,Hòa Bình,co2,Chất thải,0.85
1,2021,Hòa Bình,co2,Công nghiệp,3666.33
1,2021,Hòa Bình,co2,Giao thông,1904.35
1,2021,Hòa Bình,co2,Nông nghiệp,91.11
1,2021,Hòa Bình,co2,Năng lượng,2489.28
1,2021,Hòa Bình,co2,Đất đai,703.5
1,2021,Hòa Bình,co2e_20yr,Chất thải,833.74
1,2021,Hòa Bình,co2e_20yr,Công nghiệp,4742.28
1,2021,Hòa Bình,co2e_20yr,Giao thông,1951.93
1,2021,Hòa Bình,co2e_20yr,Nông nghiệp,1529.82
1,2021,Hòa Bình,co2e_20yr,Năng lượng,3908.38
1,2021,Hòa Bình,co2e_20yr,Đất đai,10737.46
1,2021,Hòa Bình,n2o,Chất thải,23.21
1,2021,Hòa Bình,n2o,Công nghiệp,30.45
1,2021,Hòa Bình,n2o,Giao thông,16.72
1,2021,Hòa Bình,n2o,Nông nghiệp,89.11
1,2021,Hòa Bình,n2o,Năng lượng,75.65
1,2021,Hòa Bình,n2o,Đất đai,0.0
1,2021,Hưng Yên,ch4,Chất thải,4800.27
1,2021,Hưng Yên,ch4,Công nghiệp,80.15
1,2021,Hưng Yên,ch4,Giao thông,36.03
1,2021,Hưng Yên,ch4,Nông nghiệp,3893.79
1,2021,Hưng Yên,ch4,Năng lượng,1964.45
1,2021,Hưng Yên,ch4,Đất đai,0.0
1,2021,Hưng Yên,co2,Chất thải,5.09
1,2021,Hưng Yên,co2,Công nghiệp,6304.44
1,2021,Hưng Yên,co2,Giao thông,2299.12
1,2021,Hưng Yên,co2,Nông nghiệp,1171.81
1,2021,Hưng Yên,co2,Năng lượng,3289.0
1,2021,Hưng Yên,co2,Đất đai,20.22
1,2021,Hưng Yên,co2e_20yr,Chất thải,4991.04
1,2021,Hưng Yên,co2e_20yr,Công nghiệp,7953.98
1,2021,Hưng Yên,co2e_20yr,Giao thông,2356.8
1,2021,Hưng Yên,co2e_20yr,Nông nghiệp,5442.2
1,2021,Hưng Yên,co2e_20yr,Năng lượng,5349.22
1,2021,Hưng Yên,co2e_20yr,Đất đai,20.22
1,2021,Hưng Yên,n2o,Chất thải,138.97
1,2021,Hưng Yên,n2o,Công nghiệp,65.03
1,2021,Hưng Yên,n2o,Giao thông,20.29
1,2021,Hưng Yên,n2o,Nông nghiệp,318.33
1,2021,Hưng Yên,n2o,Năng lượng,65.09
1,2021,Hưng Yên,n2o,Đất đai,0.0
1,2021,Hải Dương,ch4,Chất thải,13811.81
1,2021,Hải Dương,ch4,Công nghiệp,245.7
1,2021,Hải Dương,ch4,Giao thông,129.97
1,2021,Hải Dương,ch4,Nông nghiệp,13313.79
1,2021,Hải Dương,ch4,Năng lượng,6134.17
1,2021,Hải Dương,ch4,Đất đai,0.0
1,2021,Hải Dương,co2,Chất thải,14.63
1,2021,Hải Dương,co2,Công nghiệp,19597.64
1,2021,Hải Dương,co2,Giao thông,8290.9
1,2021,Hải Dương,co2,Nông nghiệp,703.46
1,2021,Hải Dương,co2,Năng lượng,10244.19
1,2021,Hải Dương,co2,Đất đai,42.32
1,2021,Hải Dương,co2e_20yr,Chất thải,14360.71
1,2021,Hải Dương,co2e_20yr,Công nghiệp,24776.33
1,2021,Hải Dương,co2e_20yr,Giao thông,8498.32
1,2021,Hải Dương,co2e_20yr,Nông nghiệp,15040.06
1,2021,Hải Dương,co2e_20yr,Năng lượng,16680.29
1,2021,Hải Dương,co2e_20yr,Đất đai,42.32
1,2021,Hải Dương,n2o,Chất thải,399.86
1,2021,Hải Dương,n2o,Công nghiệp,198.92
1,2021,Hải Dương,n2o,Giao thông,72.9
1,2021,Hải Dương,n2o,Nông nghiệp,823.17
1,2021,Hải Dương,n2o,Năng lượng,206.1
1,2021,Hải Dương,n2o,Đất đai,0.0
1,2021,Lào Cai,ch4,Chất thải,550.37
