month,year,tavg,tmin,tmax,prcp,ch4,co2,co2e_20yr,n2o
1,2021,15.69423076923077,1.1999999999999993,27.2,11.669999999999998,2884021.7816822096,2993120.70086409,6155372.196021244,69460.19889431457
1,2022,17.03675675675676,6.100000000000001,27.8,380.47,2794351.8227913193,2775934.1477933014,5848190.757071999,70432.34838074779
1,2023,15.948299319727893,2.8,30.5,23.13,2644524.383703255,3062766.4322706996,5984777.8821924105,72293.31693000793
1,2024,18.88230769230769,5.6,29.4,250.41,2642054.2105356893,2964647.8609054396,5892684.649418401,72491.49191334765
2,2021,19.78095238095238,9.900000000000002,29.4,116.33,2717470.4672111813,2803280.145502289,5795076.274600294,67912.71777770914
2,2022,14.416770186335404,4.4,30.0,494.53,2641064.34587612,2706046.2320350935,5621170.850838979,68753.18473725289
2,2023,19.17217391304348,6.7,29.4,185.92,2496716.5108425333,2984923.1875124876,5755449.3838796895,70696.6005076851
2,2024,18.7822695035461,5.6,32.8,56.63,2506432.341815281,3065105.3036142043,5854397.507142538,71312.13996867072
3,2021,21.923391812865496,11.700000000000005,35.0,225.28,2867399.373672218,3152776.6981025813,6302534.736783686,73839.863893736
3,2022,21.992896174863382,10.0,34.4,352.78000000000003,2773452.5415004613,3136284.5606611073,6191932.649063454,75043.32459113916
3,2023,21.47171052631579,11.1,34.400000000000006,98.31,2635401.7431549416,3535185.1399602797,6452916.561854769,77277.60761323065
3,2024,20.810191082802547,8.9,35.0,106.96,2635266.6950386334,3619820.309068606,6545450.819192324,76980.59855063011
4,2021,24.40393258426966,11.6,36.1,734.8100000000001,3135193.2590913214,3470923.4801947745,6893404.537888284,74716.72375204098
4,2022,23.33672316384181,8.9,36.1,232.16,3030332.259304081,3373126.040583455,6689935.567322024,75436.85952473828
4,2023,24.61360946745562,14.5,37.8,160.01,2874906.2738177627,3581947.040959408,6742918.941911176,77387.21747655477
4,2024,26.99096385542169,17.8,40.6,266.18,2872141.988732676,3550974.054004634,6717464.74973457,77377.2433177229
5,2021,28.460135135135136,19.4,39.4,422.41,3320731.1321912785,3282199.12303882,6891170.698628634,72982.11277786038
5,2022,25.69013157894737,17.2,35.0,1669.78,3196065.667053112,3285116.464228691,6768764.317403153,74143.78153388867
5,2023,28.92162162162162,18.9,41.1,87.36,3033951.766931957,3478265.5076375003,6799430.536720115,76234.6014348368
5,2024,27.049101796407182,18.3,37.2,1650.76,3029514.3002324207,3707720.4918126096,7033086.541028908,76609.94333854016
6,2021,29.39387755102041,19.4,40.0,1124.71,3286362.3156032613,3154997.2386377314,6727003.982294593,70856.91317168031
6,2022,28.665730337078653,17.699999999999996,39.4,1245.65,3153972.4903508076,3095275.948610254,6534002.347435089,71903.59927718257
6,2023,28.647101449275365,18.8,39.5,1259.8,2996428.177600005,3389523.452353521,6670473.358233996,74065.02632963244
6,2024,28.63636363636364,20.0,38.9,1752.03,2991764.7739733392,3482067.9615678373,6766448.361057108,73895.7748511115
7,2021,28.81985294117647,20.0,38.3,1067.79,3218761.297124161,3144746.0469340635,6648001.1192649,70773.70619717061
7,2022,28.778333333333336,17.200000000000003,38.9,1375.92,3089291.0225880537,2854175.431747359,6227261.730032251,71966.25124205224
7,2023,29.525,18.90000000000001,38.89999999999999,621.02,2937379.8487062226,3443913.4521821416,6665142.277351175,74326.12840199455
7,2024,28.27878787878788,20.5,39.39999999999999,1926.31,2930072.6514467127,3555980.7962927683,6778186.862656796,74339.17252011795
8,2021,28.77516339869281,16.699999999999996,39.4,1093.46,3025986.592965925,3199116.6862335396,6507076.820785485,71148.21761677526
8,2022,28.032432432432437,17.799999999999997,37.2,1955.74,2913862.365754777,3119044.2756005083,6314435.229550864,72333.17258329483
8,2023,27.95078125,19.4,37.8,1069.31,2768914.00918361,3411477.6368863513,6461940.210670966,74562.40680896318
8,2024,28.471527777777776,18.8,38.39999999999999,1259.58,2766761.6772709517,3468162.632176105,6524826.732658051,74567.93746942909
9,2021,27.497744360902253,17.099999999999998,36.7,978.67,2862249.1188609074,3464558.114717156,6608751.222922465,73528.76322607564
9,2022,27.176515151515154,17.800000000000004,37.2,1052.54,2768126.731851083,3100768.9067240544,6150759.9731606515,74804.82126982475
9,2023,27.15182926829268,18.9,36.1,1055.36,2630083.623555706,3519907.2947853403,6431698.416559268,76754.90893352882
9,2024,27.35562913907285,17.799999999999997,37.2,2000.25,2629114.7386027807,3595483.1487424197,6515296.11648055,77379.56151323736
10,2021,22.51428571428572,13.4,35.1,1206.98,2906960.0402896055,3677335.6033341438,6870219.379152633,76877.22859955928
10,2022,25.194594594594594,16.1,32.8,138.68,2812088.1325251292,3440300.403597148,6538091.487582239,78030.85367224885
10,2023,25.76153846153846,16.599999999999998,35.6,131.57,2673767.0955711883,3835402.3215173325,6794565.557981979,79825.73849908769
10,2024,25.34214876033058,14.4,35.0,238.51,2672565.661369447,3902234.9648618847,6869166.3882545,80432.49177106837
11,2021,20.351666666666667,9.400000000000002,30.1,80.76,2809794.4669791823,3304570.112496643,6395818.416230848,73790.47491392256
11,2022,23.426771653543305,6.599999999999998,31.200000000000003,247.12,2737000.8397610122,3229059.8987816647,6247781.3549136445,75107.28924846457
11,2023,22.366216216216216,7.8,33.3,182.37,2593479.311497847,3660814.8610450593,6535889.031588331,77165.69317724992
11,2024,21.823015873015876,5.099999999999998,32.2,45.47,2593092.196389134,3746465.0834267326,6630173.544381282,77812.29376807077
12,2021,16.96029411764706,5.6,27.2,12.68,2896254.2023569243,3084152.8917030417,6261257.251541324,71920.19211088518
12,2022,15.968067226890756,3.3,26.200000000000003,42.43,2805426.722454944,2900604.886334665,5986412.25811179,72762.60300397436
12,2023,18.022222222222226,2.3000000000000007,30.6,66.03,2658404.412088213,3362736.392822184,6301423.348542013,74903.98749498861
12,2024,21.1,13.3,28.3,0.0,2657435.94948197,3439385.1642718967,6386169.581045983,75603.56295587138
