year,season,mean_temp
2009,Autumn,24.9
2009,Spring,24.8
2009,Summer,29.1
2009,Winter,19.8
2010,Autumn,25.1
2010,Spring,26.1
2010,Summer,28.9
2010,Winter,19.9
2011,Autumn,25.0
2011,Spring,22.9
2011,Summer,29.2
2011,Winter,16.7
2012,Autumn,25.7
2012,Spring,26.1
2012,Summer,29.6
2012,Winter,18.2
2013,Autumn,24.9
2013,Spring,27.0
2013,Summer,29.1
2013,Winter,18.2
2014,Autumn,25.9
2014,Spring,26.1
2014,Summer,29.6
2014,Winter,17.5
2015,Autumn,26.3
2015,Spring,26.3
2015,Summer,30.3
2015,Winter,18.6
2016,Autumn,26.0
2016,Spring,26.0
2016,Summer,30.0
2016,Winter,18.4
2017,Autumn,25.9
2017,Spring,24.9
2017,Summer,29.8
2017,Winter,19.0
2018,Autumn,26.2
2018,Spring,25.9
2018,Summer,30.0
2018,Winter,18.6
2019,Autumn,25.8
2019,Spring,26.8
2019,Summer,30.6
2019,Winter,20.3
2020,Autumn,25.3
2020,Spring,26.0
2020,Summer,31.0
2020,Winter,19.7
2021,Spring,26.0
2021,Summer,29.3
2021,Winter,18.9
