year,season,mean_temp,max,min
2009,Autumn,27.6,38.0,17.0
2009,Spring,24.2,41.0,12.0
2009,Summer,28.1,40.0,18.0
2009,Winter,18.8,37.0,6.0
2010,Autumn,27.0,39.0,12.0
2010,Spring,24.0,45.0,8.0
2010,Summer,29.2,43.0,19.0
2010,Winter,20.0,33.0,8.0
2011,Autumn,26.6,39.0,17.0
2011,Spring,20.3,35.0,7.0
2011,Summer,28.5,40.0,18.0
2011,Winter,18.4,35.0,5.0
2012,Autumn,27.6,37.0,17.0
2012,Spring,22.8,43.0,10.0
2012,Summer,29.5,46.0,20.0
2012,Winter,19.8,37.0,7.0
2013,Autumn,26.8,39.0,16.0
2013,Spring,24.3,43.0,12.0
2013,Summer,29.4,44.0,20.0
2013,Winter,18.8,33.0,5.0
2014,Autumn,27.8,39.0,18.0
2014,Spring,22.2,41.0,7.0
2014,Summer,30.1,44.0,17.0
2014,Winter,19.0,32.0,6.0
2015,Autumn,28.1,39.0,16.0
2015,Spring,22.6,42.0,9.0
2015,Summer,30.8,43.0,22.0
2015,Winter,20.1,35.0,9.0
2016,Autumn,28.3,38.0,18.0
2016,Spring,22.2,41.0,7.0
2016,Summer,30.0,42.0,20.0
2016,Winter,20.0,32.0,3.0
2017,Autumn,28.4,40.0,15.0
2017,Spring,22.4,43.0,9.0
2017,Summer,28.9,43.0,17.0
2017,Winter,20.0,35.0,9.0
2018,Autumn,27.9,38.0,18.0
2018,Spring,22.2,40.0,6.0
2018,Summer,30.0,41.0,22.0
2018,Winter,20.6,32.0,7.0
2019,Autumn,28.0,39.0,17.0
2019,Spring,24.9,43.0,14.0
2019,Summer,30.3,43.0,20.0
2019,Winter,20.3,32.0,8.0
2020,Autumn,27.4,38.0,11.0
2020,Spring,22.8,37.0,12.0
2020,Summer,31.2,41.0,19.0
2020,Winter,20.6,30.0,7.0
2021,Spring,23.4,35.0,9.0
2021,Summer,29.3,40.0,16.0
2021,Winter,17.0,27.0,2.0
