Year,Month,Mean_Temperature,Max_Temperature,Min_Temperature
2013,1,14.85,16.3,12.4
2013,2,19.33,17.6,13.9
2013,3,22.75,18.5,14.0
2013,4,23.68,21.4,15.2
2013,5,26.87,18.1,13.8
2013,6,27.53,22.8,18.3
2013,7,26.82,22.9,17.5
2013,8,27.13,24.6,18.9
2013,9,25.48,23.3,18.0
2013,10,23.43,22.7,17.0
2013,11,21.17,25.6,19.7
2013,12,14.58,27.0,20.2
2014,1,15.95,27.2,20.9
2014,2,16.72,28.1,22.6
2014,3,20.13,26.0,21.0
2014,4,24.83,27.0,22.7
2014,5,27.45,29.2,22.5
2014,6,28.05,28.5,23.3
2014,7,27.67,29.4,22.8
2014,8,26.92,29.3,23.9
2014,9,26.98,29.1,23.4
2014,10,24.53,28.9,22.7
2014,11,21.28,29.6,23.9
2014,12,16.0,29.6,23.7
2015,1,16.35,29.5,23.4
2015,2,18.3,28.8,23.0
2015,3,21.67,29.5,23.5
2015,4,24.07,30.4,23.6
2015,5,28.67,30.7,23.6
2015,6,28.73,29.4,22.6
2015,7,27.85,30.0,23.5
2015,8,27.67,30.1,23.8
2015,9,26.78,30.9,24.3
2015,10,24.8,31.5,24.1
2015,11,22.83,30.8,23.4
2015,12,17.1,28.9,22.9
2016,1,15.97,29.3,24.0
2016,2,15.18,30.6,25.2
2016,3,19.7,28.8,24.0
2016,4,24.88,28.1,22.3
2016,5,27.07,25.0,20.9
2016,6,28.82,25.4,23.4
2016,7,28.13,25.4,22.0
2016,8,27.52,25.7,23.3
2016,9,26.93,25.1,20.4
2016,10,25.98,24.1,20.4
2016,11,21.42,21.4,19.4
2016,12,19.03,22.5,21.1
2017,1,18.17,20.2,19.2
2017,2,18.32,21.9,18.6
2017,3,20.83,19.9,18.2
2017,4,23.55,17.2,16.1
2017,5,26.1,19.2,16.3
2017,6,28.07,16.9,12.5
2017,7,27.08,20.1,15.1
2017,8,27.3,15.5,13.5
2017,9,27.3,17.7,13.6
2017,10,24.02,18.1,13.7
2017,11,20.53,17.1,13.4
2017,12,16.52,19.7,14.8
