Year,Tavg,Temp_Change,Tmax,Tmin,Temp_Range,frequency_hot,frequency_cold
1995,22.8,,39.4,-3.3,42.7,1,2
1996,22.4,-0.4,45.0,0.6,44.4,7,3
1997,23.0,0.6,39.4,3.3,36.1,1,1
1998,23.4,0.4,39.4,3.3,36.1,5,1
1999,22.9,-0.5,40.0,-3.9,43.9,17,12
2000,22.5,-0.4,39.4,2.2,37.2,21,1
2001,22.5,0.0,38.3,-0.6,38.9,9,2
2002,22.7,0.2,38.3,2.2,36.1,25,1
2003,23.2,0.5,40.0,0.0,40.0,11,0
2004,22.3,-0.9,38.9,0.6,38.3,22,0
2005,22.5,0.2,38.3,-1.1,39.4,17,1
2006,23.0,0.5,39.4,-3.3,42.7,11,4
2007,22.8,-0.2,38.9,-1.1,40.0,8,3
2008,22.1,-0.7,37.8,0.6,37.2,41,3
2009,23.2,1.1,38.9,-1.1,40.0,14,2
2010,23.3,0.1,40.6,3.3,37.3,8,0
2011,21.7,-1.6,38.9,-1.1,40.0,38,2
2012,22.8,1.1,40.6,4.4,36.2,25,0
2013,22.7,-0.1,39.4,-1.1,40.5,21,4
2014,22.8,0.1,41.1,-2.2,43.3,14,4
2015,23.5,0.7,40.0,1.7,38.3,15,0
2016,23.7,0.2,38.9,-1.1,40.0,21,5
2017,23.3,-0.4,41.7,2.8,38.9,16,0
2018,23.3,0.0,40.0,1.1,38.9,22,0
2019,24.2,0.9,41.1,0.0,41.1,5,2
2020,23.6,-0.6,41.1,5.0,36.1,12,0
2021,23.6,0.0,40.0,1.1,38.9,12,0
2022,23.2,-0.4,39.4,3.3,36.1,17,0
2023,23.9,0.7,41.1,2.2,38.9,14,0
